SequenceName	ClusterNumber
G003260355	-1
G007376145	-1
G012031925	-1
G001775775	-1
G011056645	-1
G002849045	-1
G001509155	-1
G001508955	60
G000233775	60
G000402835	-1
G000526375	-1
G900177735	61
G000172975	61
G001871575	-1
G002403335	-1
G900157305	62
G000147715	62
G002452585	63
G001509135	63
G002431635	-1
G000021285	64
G000016905	64
G900129985	64
G000767275	65
G000235405	65
G000017545	65
G001719065	65
G001783275	-1
G003242895	66
G001784485	66
G009691415	-1
G009772965	-1
G011333685	-1
G001772355	67
G001771365	67
G001772375	67
G001772415	68
G001771665	68
G001771545	68
G001772455	68
G001858525	-1
G011055945	-1
G005882295	69
G001917855	69
G002440205	-1
G012799975	-1
G003566775	-1
G011390735	70
G007695125	70
G000195335	71
G000183745	71
G012030945	-1
G004337705	-1
G003245435	-1
G001800895	-1
G002375895	-1
G900016865	72
G001512605	72
G001512545	-1
G000973085	-1
G001517915	-1
G900167275	73
G000479045	73
G010367435	74
G000622245	74
G000158315	75
G000158195	75
G001829155	-1
G003497555	76
G001829375	76
G001676785	77
G000092845	77
G000518245	77
G000325665	77
G001829335	-1
G001830585	-1
G000501675	78
G000501595	78
G000501015	78
G000501275	78
G000501875	78
G000501695	78
G000501155	78
G000501615	78
G000501235	78
G000500975	78
G000501215	78
G000501915	78
G000501895	78
G001922545	78
G000501735	78
G000501755	78
G000714705	78
G000300045	78
G000304735	78
G000181895	78
G000739475	78
G000502095	78
G001598195	78
G000012065	78
G000956315	78
G000568775	78
G000568795	78
G000568675	78
G000568735	78
G000012085	78
G000568755	78
G001936255	78
G000445425	78
G000019705	78
G000019685	78
G000523535	78
G000568715	78
G000500065	78
G000500045	78
G000493945	79
G000380785	79
G000405145	79
G000402275	79
G000405125	79
G002687025	-1
G000405945	-1
G001805815	-1
G011335005	-1
G000526155	-1
G009724975	80
G004322275	80
G003647125	-1
G011042595	-1
G011049115	-1
G007280195	81
G001873935	81
G009783195	81
G009926305	-1
G004297385	82
G001797435	82
G001798595	82
G003230535	-1
G000522445	83
G000522425	83
G000487995	-1
G002401785	-1
G000375785	-1
G002778455	-1
G902384585	-1
G000830295	-1
G002762985	-1
G003650545	-1
G004524445	-1
G008080745	-1
G001920655	-1
G002726865	-1
G005877075	-1
G001870125	84
G000802205	84
G008389435	84
G001918475	85
G001917995	85
G001917505	85
G005877295	85
G001920395	85
G900177045	85
G011319465	85
G007280335	85
G011056475	-1
G000405885	86
G000398765	86
G000380705	86
G000402095	86
G000399825	86
G003351865	-1
G000179575	87
G000017185	87
G002009965	88
G000376965	88
G003600755	-1
G001729395	89
G000012545	89
G001729965	89
G003268005	89
G001316105	-1
G000195915	90
G000011185	90
G012959275	-1
G010030465	91
G002499745	91
G001595875	-1
G002509175	92
G001595945	92
G003021235	-1
G000336715	93
G000336695	93
G000755245	93
G000336675	93
G000336935	93
G000336915	93
G000334895	93
G009184555	94
G007421925	94
G000591055	95
G000026045	95
G009741925	95
G000470655	96
G000023945	96
G003058365	96
G000403645	-1
G900215575	97
G005954745	97
G900103505	98
G011440375	98
G000427685	-1
G002010125	99
G002010045	99
G002011215	-1
G002010215	-1
G002839625	-1
G003173355	-1
G003173335	-1
G001602695	100
G000013445	100
G001412355	-1
G003194425	-1
G003336485	-1
G000063445	-1
G000251105	101
G000011005	101
G000993565	-1
G002335495	-1
G011772635	-1
G001816835	102
G001816795	102
G001816815	102
G010119145	-1
G002718715	-1
G002796065	-1
G002401425	-1
G003524745	-1
G003647645	-1
G001029795	103
G001004445	103
G001004375	103
G001771185	103
G002476865	-1
G003598115	-1
G000995565	104
G000993275	104
G001872945	104
G001771115	105
G000995395	105
G000997185	105
G000995065	105
G002415345	-1
G004297735	-1
G003022365	-1
G000993135	-1
G001817055	106
G001817035	106
G001817095	106
G001817115	106
G001779955	-1
G001509285	-1
G000165795	-1
G000237825	107
G000024905	107
G002839185	-1
G000585335	108
G000238615	108
G001701045	108
G000712295	108
G002159945	108
G000177335	-1
G000237805	109
G000161995	109
G000210715	-1
G003860125	-1
G004366815	110
G001604435	110
G001896635	111
G000025885	111
G000526395	111
G001513315	112
G000953715	112
G001508055	112
G000018605	112
G003641495	-1
G003643985	-1
G000025105	113
G000016785	113
G001508875	113
G000784835	113
G000978555	113
G000230655	113
G000008545	113
G000750655	113
G000018945	113
G000832145	113
G009924325	-1
G010028705	114
G009925075	114
G003265895	-1
G001771655	115
G001771535	115
G001771455	115
G001772385	116
G001771505	116
G001771395	116
G001771705	116
G001771425	-1
G005240105	-1
G000332275	-1
G000013225	117
G000013205	117
G012031565	117
G003133745	-1
G013036235	118
G003151115	118
G003134695	-1
G003169995	119
G003151695	119
G001302805	-1
G002973605	-1
G011380295	-1
G011329005	-1
G002898895	-1
G005879775	-1
G005881435	-1
G005881255	120
G005880615	120
G005881155	121
G005880435	121
G009840555	122
G009838085	122
G011376045	-1
G002707365	123
G002239005	123
G000620065	124
G000376665	124
G000423425	124
G000430045	124
G000373205	124
G000092125	124
G000423905	125
G000187005	125
G000744885	125
G000745065	125
G000376265	125
G001880325	125
G001399775	125
G000421625	125
G000091545	125
G000309885	125
G000771745	125
G000745915	-1
G000014185	-1
G003132585	-1
G003599855	126
G002897715	126
G002843005	-1
G009777935	-1
G902590875	-1
G005883885	-1
G011054185	-1
G009379915	127
G009377815	127
G003563985	-1
G003566675	-1
G000184705	128
G000183545	128
G900019985	-1
G002068545	129
G001513145	129
G001584725	-1
G900101835	-1
G001854465	130
G000158275	130
G000007325	130
G000158215	130
G000381725	130
G900104395	131
G000691645	131
G000691725	131
G000691685	131
G000691745	131
G000691665	131
G000622045	131
G000158295	131
G000262225	131
G000242215	131
G003820485	-1
G004297825	-1
G001829495	132
G001829455	132
G002730875	-1
G002009735	133
G000243335	133
G002333425	-1
G900112165	-1
G001829415	134
G001829395	134
G002238925	-1
G001567115	-1
G003598175	-1
G011328885	-1
G003290465	135
G002842095	135
G003056015	-1
G003339615	-1
G002746535	-1
G003245715	-1
G009002475	-1
G001804145	-1
G001871865	-1
G003574845	-1
G009619095	-1
G001777945	-1
G001443455	-1
G001798055	-1
G004213355	-1
G902609885	136
G002172385	136
G002343185	-1
G010027665	-1
G009379725	-1
G005879605	137
G001918165	137
G003694065	-1
G012960245	-1
G011334465	138
G003153535	138
G001798805	-1
G001790695	-1
G000496115	-1
G001873285	-1
G001790955	-1
G012103255	-1
G003229815	-1
G001797495	-1
G001806225	139
G001798485	139
G001798155	139
G001797665	139
G001797585	139
G001798625	139
G001797595	139
G001795495	139
G001797515	139
G001799025	139
G005774525	140
G003314535	140
G012512925	-1
G011327825	-1
G001577715	-1
G009777595	-1
G000989975	141
G000989255	141
G000513475	-1
G011373475	-1
G001968985	142
G000421485	142
G000191045	142
G000185805	142
G000517565	-1
G000526195	143
G000194135	143
G000420385	143
G000744435	143
G000523275	144
G000170735	144
G000021725	144
G001781965	-1
G902785275	-1
G001595785	-1
G003694805	-1
G001563325	-1
G011364985	-1
G003662775	-1
G005884235	145
G005883075	145
G001919175	145
G001918745	145
G001918765	145
G001774245	-1
G011362345	-1
G001593935	146
G001593925	146
G009889585	-1
G009898475	147
G003176995	147
G000955905	148
G000723185	148
G000685395	148
G002855745	149
G000993805	149
G000389735	-1
G000006175	-1
G000018485	150
G000017225	150
G000220645	150
G000017165	150
G002494785	-1
G000447225	-1
G000965745	-1
G000496135	-1
G900090055	151
G001856845	151
G000008265	-1
G001595885	-1
G002496385	-1
G004377185	-1
G001800735	-1
G001800815	152
G001800675	152
G900110215	153
G005049285	153
G000337515	-1
G003344565	-1
G002844195	154
G001469955	154
G000283335	154
G000194625	-1
G003978865	-1
G000385565	-1
G000025505	-1
G001006045	155
G000789255	155
G001315945	-1
G004297185	156
G000275865	156
G001571385	156
G002010075	-1
G001508185	157
G001507975	157
G000711905	157
G000991805	158
G000991265	158
G003518125	-1
G001772655	-1
G001772805	159
G001772545	159
G001772955	159
G011057755	159
G001772695	160
G001772615	160
G001816975	-1
G002771035	-1
G000999945	-1
G002305925	-1
G002747745	-1
G009994635	-1
G002792495	-1
G003228835	-1
G001772255	-1
G001772265	161
G001771275	161
G001776195	-1
G002787495	-1
G002778735	-1
G011056905	-1
G007376565	-1
G002686445	-1
G002293685	-1
G009930055	-1
G012841575	-1
G002687875	-1
G002771915	-1
G000992445	-1
G003599335	-1
G001006985	-1
G003148465	-1
G900102615	162
G004768445	162
G001508795	163
G000816145	163
G000828655	163
G003265975	-1
G001771615	-1
G001772335	164
G001771345	164
G001899315	165
G001464165	165
G003963305	166
G003242885	166
G001899385	-1
G005110395	-1
G009924885	-1
G001786505	167
G001784585	167
G001784555	167
G004769085	167
G001786555	168
G001784615	168
G001917285	-1
G011370625	-1
G011771275	-1
G002780095	-1
G002782725	-1
G011055095	-1
G000494245	169
G000380725	169
G000397765	169
G011335125	169
G003574315	-1
G011057005	170
G011048035	170
G002898555	170
G001794945	-1
G009925905	171
G003670475	171
G001795345	-1
G005889515	172
G005880985	172
G011055185	-1
G010032105	173
G010030575	173
G001748285	174
G000702505	174
G011057365	-1
G000519345	175
G000317835	175
G902810695	-1
G011492965	176
G011492945	176
G001029505	176
G000661895	176
G009694475	-1
G011337865	-1
G012837825	-1
G002011565	177
G002010555	177
G002011575	177
G011331305	-1
G002841355	178
G001950395	178
G009668945	178
G001508275	178
G902587185	179
G902521955	179
G902610815	179
G902809825	-1
G001513495	-1
G900069145	180
G001512825	180
G900018335	180
G003991135	-1
G002839285	-1
G002839375	-1
G011813005	-1
G002070785	-1
G003557915	-1
G002746185	-1
G000700845	181
G000174995	181
G000493885	181
G000068585	181
G000008725	181
G000170755	-1
G002726605	-1
G012965325	-1
G000372285	-1
G000402985	-1
G002781965	-1
G001804125	-1
G002779345	182
G001872105	182
G001874025	182
G001873045	-1
G002070645	-1
G003553445	-1
G003559455	-1
G001577135	-1
G000404745	183
G000397885	183
G000402615	183
G011088305	-1
G011772905	-1
G004356455	-1
G007693595	-1
G902565945	-1
G001798715	184
G001798235	184
G001798535	184
G001795505	184
G001798265	-1
G011330975	-1
G003695725	-1
G001790865	185
G001790855	185
G001790675	185
G001790785	185
G001790715	185
G001790645	185
G001803565	-1
G000284315	-1
G002002505	186
G000695975	186
G002002665	186
G000299235	186
G001280545	186
G000262365	186
G000755505	186
G004298725	-1
G009724815	-1
G000020385	-1
G001751155	187
G000167355	187
G900101955	187
G000010985	-1
G004339245	188
G000025725	188
G001603805	189
G000421105	189
G002010915	-1
G002011895	-1
G002030015	-1
G000717475	190
G000519265	190
G000934745	190
G001304365	-1
G001577525	-1
G011046395	-1
G001468925	-1
G000996695	-1
G009926945	-1
G011367265	-1
G000703085	191
G000021565	191
G003688665	191
G000619805	191
G000021545	191
G000173615	191
G902616925	192
G002730365	192
G000224765	192
G002238905	-1
G001399755	-1
G001919285	-1
G001920575	193
G001915065	193
G001918315	193
G005882905	193
G001776015	194
G001775965	194
G000730285	195
G000698785	195
G001918455	196
G001917965	196
G000303155	196
G001443365	-1
G000015225	-1
G000813245	197
G000446015	197
G000017945	-1
G001481685	-1
G001729285	198
G000745485	198
G002505765	198
G001639285	199
G000513315	199
G001639295	200
G001639265	200
G000152265	-1
G001402945	201
G001399695	201
G001402935	201
G000949015	201
G001316225	201
G002504995	-1
G902605365	202
G902563095	202
G902625045	-1
G902566115	203
G003193905	203
G902626095	204
G003324645	204
G902531675	204
G005878375	-1
G003555025	-1
G001564285	205
G001563955	205
G004916935	-1
G001282785	206
G000739555	206
G000224475	206
G002011235	-1
G002010195	207
G002010155	207
G002011315	207
G000711215	-1
G000021965	-1
G004332335	-1
G004102725	208
G002503105	208
G001509375	209
G001508615	209
G002502785	209
G001602645	209
G000235565	209
G002506535	209
G002328805	-1
G012842045	210
G012513575	210
G002840365	-1
G002774285	-1
G001890045	211
G001873785	211
G001816985	-1
G002426885	-1
G003260345	-1
G002788775	-1
G002796025	-1
G000993595	212
G000992775	212
G000992695	212
G001787465	-1
G001788835	213
G001788755	213
G000989635	214
G000989565	214
G001788765	214
G001788885	214
G001787635	-1
G009691405	-1
G009839685	-1
G002071685	-1
G011333785	-1
G001002835	-1
G001776125	215
G001774395	215
G001776175	215
G000991185	-1
G002780235	-1
G001776145	-1
G003229735	-1
G001817065	216
G001001305	216
G001817145	216
G001817175	216
G001817135	216
G001779995	217
G001777575	217
G001777815	217
G001818435	-1
G001818105	218
G000999025	218
G001818055	218
G001818135	218
G001817305	-1
G001817545	-1
G011327765	-1
G011362555	-1
G002779725	-1
G001001525	219
G000995965	219
G001784895	219
G001000395	219
G001784955	219
G001785005	219
G001784795	219
G000999765	219
G001784885	219
G001784875	219
G001784975	219
G001784775	219
G001824375	220
G001824315	220
G001825495	220
G001824325	221
G001003325	221
G011372525	-1
G000402235	-1
G000405325	222
G000380925	222
G000217815	-1
G001508115	223
G000017865	223
G000828675	223
G002719695	-1
G902530045	-1
G001784535	-1
G012515355	224
G003232135	224
G001784565	224
G002933735	-1
G004768415	-1
G002018045	225
G001007635	225
G002018015	225
G002017915	225
G001007625	225
G900047545	225
G001007665	225
G000586015	225
G002006815	226
G000063525	226
G002861535	-1
G001870225	-1
G003450055	-1
G011337985	-1
G011338025	-1
G011047005	-1
G001457975	227
G000427095	227
G001457855	227
G002413165	228
G002405245	228
G005880035	229
G005879625	229
G005879725	229
G005883525	229
G003142035	-1
G003162415	-1
G005881825	-1
G004299235	230
G003131845	230
G001920725	231
G001919305	231
G001918845	231
G001918235	231
G005889135	231
G005881135	231
G003967555	232
G000178855	232
G005879655	232
G011389075	232
G011053995	-1
G002400365	-1
G000186385	-1
G001464995	-1
G009694365	-1
G003598015	-1
G001768645	233
G001767605	233
G001767755	233
G007120425	-1
G003599235	-1
G009783245	-1
G003149935	-1
G000321165	234
G000311845	234
G002160065	234
G000195315	234
G004793665	-1
G902509835	-1
G009694435	-1
G009694415	235
G001023575	235
G001854655	236
G000374165	236
G000373365	236
G000058485	236
G000013345	236
G000235425	236
G000166135	236
G000177615	236
G012933365	237
G000219855	237
G002951815	238
G001280565	238
G001513395	-1
G001513205	-1
G007116995	-1
G001508855	-1
G008933955	239
G000019165	239
G002049255	-1
G900155405	-1
G000384135	-1
G002010535	-1
G001742305	-1
G009995445	-1
G000332515	240
G000304275	240
G000017685	240
G004770995	240
G004770745	240
G000306115	241
G000244755	241
G000243715	241
G002811865	241
G000217275	242
G000092565	242
G000217175	242
G001567725	242
G000347015	242
G000244515	242
G000342725	242
G000350605	242
G000306195	242
G000306255	242
G001969935	242
G000244815	242
G000243815	242
G000013945	242
G001568365	242
G000313175	242
G000347175	242
G000243735	242
G011682535	243
G011328705	243
G001794905	-1
G902609415	-1
G011064725	-1
G000470825	244
G000470805	244
G000508065	244
G000508025	244
G000508005	244
G001466415	244
G000204135	244
G001625515	244
G001469535	244
G000470765	244
G001625535	244
G001007065	244
G001007025	244
G000008745	244
G001007045	244
G000007205	244
G001007125	244
G000091085	244
G000011165	244
G000516655	244
G000024145	244
G002694885	245
G000155695	245
G011374075	-1
G009773755	-1
G003635315	246
G000401015	246
G009843785	247
G000406005	247
G009841255	247
G003635305	247
G009691445	-1
G001804285	248
G001804155	248
G001871815	249
G001803975	249
G002421665	250
G001805805	250
G002781985	251
G001872775	251
G002780005	-1
G002085315	-1
G003644525	-1
G011329245	-1
G001778315	-1
G001778375	-1
G001873945	-1
G002840325	-1
G001800635	252
G001800565	252
G003452965	252
G001303705	253
G001302835	253
G001304185	253
G001412425	-1
G009782695	-1
G011371545	-1
G001304015	-1
G009839015	-1
G011772825	-1
G004356555	-1
G002238415	-1
G009692435	254
G005879215	254
G002898795	-1
G003353845	-1
G902574205	-1
G001798655	255
G001798605	255
G001797365	-1
G001798365	-1
G002796325	-1
G001798105	-1
G001798085	256
G001797335	256
G001798315	256
G001798475	256
G002787535	-1
G007693605	-1
G000739535	-1
G002748445	257
G000739515	257
G011052055	-1
G001804915	258
G001803535	258
G001804945	258
G001804975	258
G001803525	258
G001804905	258
G001805005	258
G001804965	258
G001643535	-1
G003220255	-1
G002747255	-1
G002789615	-1
G009783055	-1
G005223145	-1
G001798415	-1
G007830735	259
G000813145	259
G000022265	260
G000016745	260
G000020725	260
G003574885	260
G000817955	260
G000012925	260
G000007985	260
G002382705	261
G001802615	261
G000183405	-1
G000218625	-1
G002070575	262
G000512235	262
G011333305	-1
G001311565	-1
G003605055	263
G000143965	263
G001797675	-1
G011775155	-1
G007116155	-1
G001000065	264
G000996275	264
G001772305	-1
G003366055	-1
G001771315	-1
G000991575	265
G000991385	265
G000991965	265
G000989525	-1
G009918765	-1
G000980755	-1
G000494225	266
G000402115	266
G000404685	266
G000404605	266
G000403075	266
G000404705	266
G000404665	266
G000020785	-1
G002726945	-1
G009783145	-1
G900216475	-1
G002109495	267
G000014865	267
G001872725	-1
G000423825	-1
G001756595	268
G000559045	268
G001705645	268
G001705625	268
G001705755	268
G001705725	268
G001705805	268
G001705695	268
G000709715	268
G001931655	268
G000227215	268
G001559335	268
G001418795	268
G001308895	268
G000021485	268
G000179815	268
G001857665	268
G000214095	268
G000175575	268
G002825465	-1
G003345545	-1
G011364905	-1
G002825515	269
G001563335	269
G001940705	269
G001577155	-1
G004525915	-1
G004376645	-1
G000960885	-1
G001516665	270
G001516655	270
G000193375	270
G000253055	270
G000015805	-1
G001516585	271
G001315925	271
G001663375	272
G001516725	272
G000018305	272
G001748385	-1
G000258425	-1
G000011205	-1
G002508825	-1
G000621965	273
G000404165	273
G001563245	274
G000024185	274
G902802065	274
G003111605	-1
G003672545	-1
G012960825	-1
G002496735	-1
G001629205	-1
G003135935	-1
G004525545	-1
G000404225	-1
G009831455	275
G009789175	275
G000755225	-1
G000691505	276
G000517625	276
G000337815	277
G000306765	277
G000025685	277
G001469865	277
G000336755	277
G000416105	-1
G900129775	278
G000495475	278
G005239175	279
G001564175	279
G900109065	280
G001563795	280
G000496215	280
G000416025	280
G002952775	-1
G000243255	-1
G000784355	281
G000147875	281
G002503825	-1
G002067095	282
G000235685	282
G003170075	283
G000017625	283
G002502245	284
G000327485	284
G002839675	284
G013329555	-1
G000014945	-1
G001603225	285
G000204415	285
G002256595	285
G004211975	-1
G012800885	286
G002347605	286
G000990025	287
G000989775	287
G000990985	287
G000989675	287
G000990125	287
G000989705	287
G000990085	287
G001772465	287
G001771775	287
G001772665	-1
G002789015	-1
G002774775	-1
G009995545	-1
G003564915	-1
G011048715	-1
G001816735	288
G001816695	288
G000404925	-1
G000995995	-1
G001776335	-1
G001776865	-1
G001779145	-1
G001780905	289
G001003415	289
G001787705	290
G001787585	290
G001787675	290
G001788995	290
G001788925	290
G001790445	-1
G000169295	-1
G002789815	-1
G007376535	-1
G002771215	-1
G001777585	-1
G002773695	-1
G007281175	-1
G001780065	291
G001777695	291
G001779925	291
G001889965	-1
G002787075	292
G001872435	292
G001000505	-1
G001818155	293
G001000795	293
G001818075	293
G001818175	293
G001000815	293
G001818085	293
G001818205	293
G002839745	-1
G001000955	-1
G004298615	-1
G007376705	-1
G010014565	-1
G002790615	-1
G001872305	-1
G001873495	-1
G000993645	-1
G003453635	-1
G000980455	294
G000980375	294
G000431555	294
G002252665	295
G001039265	295
G000155635	295
G000316515	295
G000179255	295
G000179235	295
G000153045	295
G012031145	-1
G001402795	296
G000332215	296
G001873375	296
G000332175	296
G000317085	296
G000317065	296
G000817325	297
G000012525	297
G000010065	297
G012032745	297
G000332315	297
G001768085	-1
G011333945	-1
G003577165	-1
G003695835	-1
G003577425	-1
G003244185	-1
G902812395	-1
G005882595	-1
G004297765	-1
G001898225	-1
G009982895	-1
G001644475	-1
G005884575	298
G003139545	298
G004366385	-1
G009694345	299
G003351045	299
G009691195	-1
G005885405	300
G001897355	300
G900108055	-1
G001767595	-1
G001767735	-1
G902810715	301
G001767575	301
G009783085	-1
G009784425	-1
G001405375	302
G000169035	302
G000434535	302
G001404695	302
G000821265	302
G000156215	303
G000156175	303
G900119895	303
G000225705	303
G900046475	303
G902501965	303
G900176655	303
G901212675	304
G900143685	304
G902565645	305
G003282445	305
G902635395	306
G000384495	306
G902519845	306
G007116505	-1
G004300825	307
G000969705	307
G003564215	307
G003344865	-1
G000384115	-1
G003594885	-1
G001544015	-1
G002159155	-1
G003166315	-1
G000092405	-1
G001512495	-1
G900129805	-1
G000746025	-1
G001512665	-1
G900176035	-1
G000961765	308
G000802045	308
G009782225	-1
G002777255	309
G002224645	309
G001515945	310
G000620305	310
G000427565	311
G000012865	311
G900552165	-1
G000221605	-1
G000431435	312
G000315505	312
G000428745	312
G001553335	313
G000024945	313
G000286635	313
G000759285	313
G000426745	313
G000221545	314
G000177555	314
G900115425	315
G900107075	315
G000025305	315
G000437815	315
G000431295	315
G000230275	315
G000430605	316
G000374545	316
G900086705	-1
G000517025	317
G000379025	317
G000328625	317
G900114655	318
G900101375	318
G900109985	318
G000144695	318
G900142995	319
G001562425	319
G000144645	319
G001601575	319
G009711825	-1
G900142275	320
G900111575	320
G002216005	321
G000020005	321
G002335525	322
G000376225	322
G000714935	322
G003552765	-1
G009937555	-1
G900093645	-1
G000454725	323
G000417695	323
G001563055	324
G000417585	324
G000415685	324
G001714575	324
G001714565	324
G000270385	324
G000211155	324
G001714585	324
G000270425	324
G000270405	324
G001401465	324
G000191925	324
G000687395	324
G001736055	324
G000204175	324
G000298375	324
G000298515	324
G000298455	324
G000338695	324
G000298475	324
G000298415	324
G001401485	324
G000298435	324
G000317995	324
G000786005	324
G001401455	324
G000298535	324
G001401475	324
G000298555	324
G000417845	324
G000298495	324
G000009945	324
G000007605	324
G002007725	324
G000471025	324
G000583875	324
G001603055	-1
G001803205	-1
G002429065	-1
G003566475	-1
G001017655	-1
G008636085	-1
G902761575	-1
G002591725	325
G001746835	325
G001828445	-1
G011327745	-1
G012960845	326
G002711105	326
G011526295	327
G009936985	327
G002344825	-1
G002069035	328
G001804345	328
G001804205	329
G001804055	329
G002753745	-1
G012515635	-1
G011043245	330
G003644395	330
G001800075	-1
G001800015	-1
G013044195	331
G002796275	331
G003450735	-1
G001304335	-1
G004376575	-1
G000494005	332
G000402415	332
G001577185	333
G001577125	333
G001603745	334
G000146065	334
G002428685	334
G003645085	-1
G011388305	-1
G002479745	-1
G012516735	-1
G002030045	-1
G000402435	-1
G001789275	-1
G011053795	-1
G002050235	-1
G005888135	335
G005879795	335
G005888095	335
G011055735	-1
G900696485	-1
G004356735	-1
G011526105	-1
G002841905	-1
G001798395	-1
G002796305	-1
G002796345	-1
G001799065	336
G001798185	336
G001799115	-1
G001799095	337
G001799015	337
G001803615	-1
G001803815	-1
G001803845	-1
G001805085	338
G001803765	338
G003235715	-1
G001914375	339
G000091165	339
G001443385	-1
G000428885	-1
G001798015	-1
G001797505	340
G001797465	340
G000015045	-1
G008124615	341
G002093115	341
G012974445	-1
G011328795	-1
G011338165	-1
G001873905	-1
G002383495	342
G000485155	342
G000024325	-1
G000620765	-1
G001748225	-1
