id bipar error fn
G001867005_1_121 7453 15 .002
G000828895_2_64 7453 3 .0004
G001486165_1_19 7453 2 .0003
G000196135_2_102 7453 10 .0013
G001676615_1_49 7453 3 .0004
G000379985_1_73 7453 9 .0012
G000597725_1_13 7453 2 .0003
G001039275_1_109 7453 4 .0005
G000299355_5_103 7453 8 .0011
G000014585_1_115 7453 9 .0012
G000007625_3_11 7453 4 .0005
G000025885_2_104 7453 0 0
G000169375_1_126 7453 5 .0007
G000260965_2_74 7453 1 .0001
G000756225_2_86 7453 4 .0005
G000821105_3_25 7453 4 .0005
G000585155_5_33 7453 2 .0003
G000821105_1_15 7453 0 0
G000021885_6_23 7453 1 .0001
G000007625_3_57 7453 6 .0008
G000025885_1_116 7453 0 0
G001543345_5_10 7453 2 .0003
G000996695_1_72 7453 4 .0005
G000189775_3_88 7453 0 0
G900113975_1_60 7453 6 .0008
G000512895_3_94 7453 31 .0042
G000384135_1_114 7453 1 .0001
G000515395_1_44 7453 4 .0005
G000445425_1_101 7453 6 .0008
G001777945_1_78 7453 7 .0009
G000023325_1_125 7453 0 0
G000024025_3_105 7453 7 .0009
G001872305_1_123 7453 3 .0004
G000024985_1_24 7453 0 0
G000189775_4_85 7453 0 0
G000821105_4_7 7453 7 .0009
G001749745_1_111 7453 3 .0004
G001574865_2_16 7453 11 .0015
G000372165_1_92 7453 3 .0004
G000501155_2_118 7453 5 .0007
G000752095_6_127 7453 2 .0003
G001941945_4_84 7453 5 .0007
G000332175_2_35 7453 20 .0027
G001642955_1_124 7453 2 .0003
G000179615_1_112 7453 2 .0003
G001750165_3_135 7453 7 .0009
G000369145_1_130 7453 28 .0038
G001188545_2_137 7453 0 0
G000368825_2_129 7453 9 .0012
G001592935_1_134 7453 1 .0001
G000023705_1_147 7453 2 .0003
G001867005_3_143 7453 13 .0017
G000828895_1_131 7453 4 .0005
G001750165_6_141 7453 0 0
G000621485_1_133 7453 2 .0003
G000725165_2_149 7453 0 0
G000312665_1_157 7453 1 .0001
G000158315_1_138 7453 0 0
G000020725_2_139 7453 4 .0005
G000429925_1_151 7453 2 .0003
G000968055_1_146 7453 3 .0004
G000179255_1_167 7453 4 .0005
G001696955_1_144 7453 5 .0007
G001708985_1_171 7453 1 .0001
G000023925_1_128 7453 1 .0001
G001558935_2_180 7453 14 .0019
G000196455_5_152 7453 3 .0004
G000368825_3_158 7453 6 .0008
G000740855_1_173 7453 1 .0001
G000007105_1_107 7453 3 .0004
G000702485_2_181 7453 3 .0004
G000753715_1_191 7453 6 .0008
G001749745_2_159 7453 6 .0008
G001769115_1_195 7453 0 0
G000301055_2_161 7453 8 .0011
G000013105_1_175 7453 14 .0019
G000021885_4_207 7453 6 .0008
G000024985_2_169 7453 0 0
G000648015_1_156 7453 14 .0019
G001872335_1_136 7453 1 .0001
G001302585_1_132 7453 8 .0011
G000516515_1_168 7453 2 .0003
G001263205_3_174 7453 4 .0005
G000024985_2_162 7453 1 .0001
G000143985_1_194 7453 2 .0003
G001434705_1_153 7453 13 .0017
G000235505_1_145 7453 1 .0001
G002011685_1_200 7453 23 .0031
G900105065_1_209 7453 3 .0004
G000754275_4_234 7453 5 .0007
G900105105_2_203 7453 11 .0015
G001263205_1_164 7453 3 .0004
G000092225_1_218 7453 12 .0016
G001420715_5_155 7453 7 .0009
G000013105_1_179 7453 0 0
G000411555_4_204 7453 1 .0001
G000313385_1_188 7453 8 .0011
G000260965_3_140 7453 2 .0003
G001190745_3_182 7453 5 .0007
G001886435_3_189 7453 2 .0003
G000315465_1_208 7453 3 .0004
G001420855_7_177 7453 19 .0025
G000753715_1_211 7453 5 .0007
G001426965_1_170 7453 1 .0001
G000315465_2_216 7453 2 .0003
G000512895_3_160 7453 1 .0001
G000169375_1_150 7453 0 0
G000171835_1_206 7453 12 .0016
G000023925_2_202 7453 16 .0021
G001558935_5_240 7453 8 .0011
G000826085_3_212 7453 7 .0009
G000750535_2_197 7453 1 .0001
G000091565_3_233 7453 11 .0015
G000017545_1_213 7453 0 0
G001574865_4_223 7453 5 .0007
G001294525_1_210 7453 1 .0001
G000020945_2_196 7453 0 0
G000597725_1_148 7453 3 .0004
G000021885_4_154 7453 9 .0012
G001420855_8_163 7453 3 .0004
G001784565_1_192 7453 2 .0003
G000328945_1_237 7453 3 .0004
G000744935_7_142 7453 5 .0007
G000967895_5_230 7453 9 .0012
G001420855_1_183 7453 6 .0008
G900115225_1_186 7453 23 .0031
G001825665_1_221 7453 1 .0001
G000314675_1_229 7453 5 .0007
G000744935_1_214 7453 3 .0004
G001302585_1_184 7453 4 .0005
G001771535_1_232 7453 0 0
G000007785_2_172 7453 9 .0012
G001580025_1_231 7453 21 .0028
G000208405_1_252 7453 6 .0008
G001428565_1_185 7453 4 .0005
G000411555_4_187 7453 1 .0001
G000768875_1_225 7453 2 .0003
G000826085_1_243 7453 10 .0013
G000023325_2_165 7453 0 0
G000196455_4_166 7453 12 .0016
G000260965_1_219 7453 12 .0016
G000308795_1_235 7453 4 .0005
G000016165_3_250 7453 1 .0001
G000821105_2_247 7453 4 .0005
G001872305_1_236 7453 2 .0003
G000702485_6_253 7453 3 .0004
G000447295_1_242 7453 0 0
G900105105_1_238 7453 5 .0007
G000473145_2_190 7453 15 .002
G000024985_1_198 7453 0 0
G001420715_4_215 7453 17 .0023
G000585155_7_255 7453 1 .0001
G001420855_4_251 7453 13 .0017
G000014585_1_220 7453 11 .0015
G000752095_1_178 7453 3 .0004
G000252445_2_249 7453 1 .0001
G000016165_4_176 7453 5 .0007
G000498475_1_264 7453 1 .0001
G900095865_5_217 7453 3 .0004
G000404925_1_227 7453 6 .0008
G000025725_2_205 7453 24 .0032
G000013105_1_245 7453 0 0
G001420855_7_199 7453 3 .0004
G900095865_4_193 7453 3 .0004
G000648015_1_256 7453 6 .0008
G000744935_2_201 7453 8 .0011
G000992445_1_222 7453 11 .0015
G000091565_2_263 7453 8 .0011
G000496595_3_254 7453 1 .0001
G000153185_3_241 7453 11 .0015
G900105105_3_224 7453 2 .0003
G000687735_1_228 7453 1 .0001
G000313385_2_248 7453 11 .0015
G000007625_1_265 7453 9 .0012
G000024985_1_239 7453 1 .0001
G000736515_1_260 7453 1 .0001
G001402855_1_246 7453 5 .0007
G000496595_3_244 7453 0 0
G000297775_1_282 7453 6 .0008
G001750165_3_284 7453 23 .0031
G001302585_1_262 7453 4 .0005
G000415945_1_276 7453 13 .0017
G900107585_1_272 7453 8 .0011
G001535965_1_267 7453 9 .0012
G000518365_2_226 7453 8 .0011
G000260965_1_257 7453 1 .0001
G000368825_3_277 7453 7 .0009
G001981925_1_274 7453 3 .0004
G001870905_1_261 7453 5 .0007
G000020945_1_268 7453 0 0
G001886435_2_291 7453 2 .0003
G000875945_1_269 7453 19 .0025
G000585155_7_292 7453 3 .0004
G000754275_2_280 7453 3 .0004
G000152145_1_270 7453 0 0
G000821105_4_289 7453 3 .0004
G900103665_1_271 7453 5 .0007
G001677115_1_259 7453 8 .0011
G001795505_1_258 7453 2 .0003
G000744935_10_278 7453 3 .0004
G000025725_2_283 7453 19 .0025
G000179615_9_279 7453 2 .0003
G000091985_2_281 7453 6 .0008
G000469585_1_287 7453 0 0
G000371925_1_285 7453 2 .0003
G000615945_1_290 7453 6 .0008
G000299355_4_266 7453 8 .0011
G001592745_1_294 7453 0 0
G000023865_2_303 7453 2 .0003
G900115865_1_288 7453 5 .0007
G000091565_2_293 7453 4 .0005
G000701545_1_297 7453 0 0
G000021885_2_295 7453 5 .0007
G001263205_3_307 7453 3 .0004
G000744935_10_304 7453 3 .0004
G000768705_1_309 7453 8 .0011
G001049735_1_286 7453 17 .0023
G001543345_1_306 7453 0 0
G000413315_2_275 7453 4 .0005
G000760215_1_317 7453 5 .0007
G001749745_1_296 7453 0 0
G000025885_2_273 7453 0 0
G000512895_4_338 7453 1 .0001
G000505725_3_315 7453 11 .0015
G001302585_1_305 7453 9 .0012
G001774295_1_302 7453 2 .0003
G000429925_1_300 7453 4 .0005
G000368825_3_308 7453 10 .0013
G001039275_9_324 7453 8 .0011
G001543345_10_320 7453 0 0
G000016165_3_310 7453 14 .0019
G000090965_1_344 7453 0 0
G000220585_1_316 7453 11 .0015
G000260965_3_299 7453 1 .0001
G001708935_1_323 7453 9 .0012
G000007105_2_347 7453 27 .0036
G000189775_1_348 7453 0 0
G001420715_4_312 7453 8 .0011
G001574675_5_313 7453 6 .0008
G000648015_1_321 7453 6 .0008
G000983115_1_327 7453 1 .0001
G000007105_2_318 7453 2 .0003
G001558935_2_326 7453 9 .0012
G900097105_2_322 7453 1 .0001
G000024025_3_314 7453 8 .0011
G000967895_3_334 7453 9 .0012
G000496595_1_358 7453 3 .0004
G000995995_1_329 7453 27 .0036
G000007625_1_335 7453 17 .0023
G001190745_3_333 7453 2 .0003
G001439965_1_325 7453 12 .0016
G000505725_2_301 7453 1 .0001
G001708985_1_365 7453 1 .0001
G001426965_1_336 7453 27 .0036
G000710615_1_351 7453 11 .0015
G001750165_7_368 7453 6 .0008
G000934685_1_364 7453 3 .0004
G000960475_1_375 7453 14 .0019
G000702485_5_330 7453 16 .0021
G000021885_4_355 7453 1 .0001
G000143985_2_311 7453 5 .0007
G000583695_1_341 7453 12 .0016
G001592185_1_337 7453 2 .0003
G000702485_4_356 7453 0 0
G000800295_2_298 7453 3 .0004
G001872335_1_331 7453 2 .0003
G001315825_1_367 7453 1 .0001
G000429665_1_340 7453 8 .0011
G001825665_1_357 7453 6 .0008
G000237805_2_345 7453 0 0
G000473145_4_319 7453 4 .0005
G000754275_2_328 7453 4 .0005
G001591605_1_392 7453 21 .0028
G000014585_2_366 7453 0 0
G000153185_1_360 7453 1 .0001
G000189775_4_346 7453 0 0
G000008565_2_352 7453 35 .0047
G000153145_1_362 7453 12 .0016
G001420855_8_353 7453 4 .0005
G000297775_4_391 7453 12 .0016
G000158315_1_374 7453 3 .0004
G000564995_1_339 7453 5 .0007
G000620625_1_349 7453 8 .0011
G002002625_1_332 7453 8 .0011
G000585155_2_385 7453 1 .0001
G000380085_1_373 7453 7 .0009
G000371925_2_378 7453 2 .0003
G001420855_13_361 7453 7 .0009
G001899145_1_397 7453 0 0
G001543345_6_350 7453 0 0
G000423585_1_406 7453 0 0
G000007785_4_369 7453 17 .0023
G000733765_1_389 7453 4 .0005
G000179615_7_388 7453 0 0
G001044335_1_371 7453 2 .0003
G000473145_3_343 7453 16 .0021
G001039275_4_387 7453 3 .0004
G000007105_2_377 7453 0 0
G000518365_3_398 7453 30 .004
G000091565_7_394 7453 10 .0013
G001039275_6_372 7453 4 .0005
G000007785_3_382 7453 0 0
G001941945_1_386 7453 5 .0007
G000875945_1_401 7453 15 .002
G001420855_5_393 7453 0 0
G001788225_1_383 7453 1 .0001
G000014185_1_376 7453 1 .0001
G900095865_4_395 7453 0 0
G001574865_5_354 7453 12 .0016
G001543345_8_359 7453 0 0
G000014245_2_399 7453 22 .003
G000020725_1_380 7453 1 .0001
G900155395_1_363 7453 3 .0004
G001825665_1_384 7453 3 .0004
G000286395_1_370 7453 0 0
G000091565_5_411 7453 16 .0021
G000995995_1_379 7453 11 .0015
G900116425_1_396 7453 18 .0024
G900095865_4_400 7453 0 0
G000024025_3_403 7453 1 .0001
G000170895_1_402 7453 0 0
G900142285_1_404 7453 12 .0016
G001439965_1_381 7453 7 .0009
G001941945_1_390 7453 2 .0003
G000931935_1_409 7453 1 .0001
G000404925_1_342 7453 6 .0008
G000315465_2_410 7453 19 .0025
G000478685_3_423 7453 20 .0027
G001315825_1_417 7453 3 .0004
G001574865_1_405 7453 12 .0016
G000750535_1_413 7453 15 .002
G001039275_2_408 7453 4 .0005
G000983115_1_421 7453 18 .0024
G001941945_3_426 7453 38 .0051
G000585375_2_422 7453 3 .0004
G000423585_1_420 7453 5 .0007
G001543345_9_407 7453 0 0
G001302585_1_431 7453 14 .0019
G001649715_1_412 7453 2 .0003
G001435475_1_424 7453 4 .0005
G000754275_2_425 7453 4 .0005
G000752095_4_436 7453 4 .0005
G000091565_3_453 7453 7 .0009
G000007785_4_419 7453 21 .0028
G000153185_4_437 7453 22 .003
G000167355_1_429 7453 2 .0003
G001039275_6_416 7453 5 .0007
G000210095_1_428 7453 0 0
G002002625_1_458 7453 4 .0005
G001438895_1_460 7453 0 0
G000752095_2_462 7453 2 .0003
G000379225_1_414 7453 1 .0001
G000420485_1_418 7453 1 .0001
G000516515_3_459 7453 0 0
G000196455_3_464 7453 5 .0007
G000023325_1_443 7453 0 0
G000301055_2_415 7453 8 .0011
G000237805_1_430 7453 0 0
G000179615_6_442 7453 0 0
G000447295_1_438 7453 4 .0005
G000501155_1_434 7453 4 .0005
G000208405_1_440 7453 2 .0003
G000170795_2_456 7453 3 .0004
G001818535_1_448 7453 0 0
G000422725_1_491 7453 2 .0003
G001402855_1_471 7453 1 .0001
G001796355_1_439 7453 4 .0005
G001420855_1_444 7453 21 .0028
G001750165_6_468 7453 5 .0007
G000189775_3_461 7453 0 0
G001558935_5_435 7453 21 .0028
G000384135_1_455 7453 0 0
G000260965_2_447 7453 18 .0024
G000411555_4_445 7453 1 .0001
G001434705_1_454 7453 18 .0024
G000752095_7_469 7453 7 .0009
G000737865_1_452 7453 7 .0009
G000016165_2_467 7453 0 0
G000763805_1_427 7453 6 .0008
G000762045_1_472 7453 16 .0021
G000992445_1_432 7453 8 .0011
G000583695_1_488 7453 5 .0007
G000179615_9_457 7453 6 .0008
G001188545_1_480 7453 0 0
G000023925_2_450 7453 6 .0008
G000220235_1_473 7453 2 .0003
G000524475_1_463 7453 4 .0005
G000931935_1_481 7453 0 0
G000754275_4_486 7453 7 .0009
G001574675_5_466 7453 14 .0019
G900095865_5_451 7453 0 0
G000179615_9_470 7453 25 .0034
G000989525_1_446 7453 3 .0004
G000016165_1_474 7453 1 .0001
G000744935_4_465 7453 6 .0008
G001558935_3_487 7453 4 .0005
G001420715_1_476 7453 1 .0001
G000478685_1_477 7453 10 .0013
G000744935_11_489 7453 9 .0012
G000752215_1_441 7453 0 0
G000017865_1_483 7453 1 .0001
G002011685_1_494 7453 26 .0035
G001574865_3_502 7453 7 .0009
G001420715_1_433 7453 4 .0005
G000424265_1_482 7453 11 .0015
G001749745_2_449 7453 4 .0005
G000016565_1_479 7453 5 .0007
G000496595_2_497 7453 1 .0001
G001544015_2_484 7453 9 .0012
G900097105_1_492 7453 5 .0007
G000297775_6_495 7453 7 .0009
G000725165_1_527 7453 5 .0007
G000411555_2_485 7453 1 .0001
G000238395_1_522 7453 5 .0007
G001574865_3_493 7453 23 .0031
G000754275_2_530 7453 3 .0004
G000016165_5_509 7453 1 .0001
G900108495_1_521 7453 0 0
G001749745_2_496 7453 2 .0003
G000752095_2_507 7453 2 .0003
G000301055_2_512 7453 2 .0003
G000368825_4_499 7453 3 .0004
G000092225_1_520 7453 5 .0007
G000752095_5_500 7453 2 .0003
G000769915_1_546 7453 2 .0003
G001544015_1_510 7453 11 .0015
G000371925_1_528 7453 21 .0028
G000007625_6_475 7453 2 .0003
G000967895_5_517 7453 1 .0001
G000744935_3_498 7453 4 .0005
G000752095_7_505 7453 1 .0001
G000091565_7_519 7453 1 .0001
G000159995_2_490 7453 1 .0001
G000518365_1_503 7453 2 .0003
G000826085_2_513 7453 4 .0005
G000007105_1_515 7453 9 .0012
G001486165_1_541 7453 22 .003
G000413315_2_506 7453 1 .0001
G000379165_1_548 7453 2 .0003
G000210095_1_511 7453 3 .0004
G900095865_5_501 7453 3 .0004
G000828675_1_516 7453 3 .0004
G001899385_1_542 7453 16 .0021
G001429255_1_561 7453 2 .0003
G900103665_1_540 7453 8 .0011
G001486165_2_538 7453 30 .004
G000737865_3_557 7453 10 .0013
G001780955_1_532 7453 1 .0001
G001567515_1_504 7453 3 .0004
G000007105_2_537 7453 6 .0008
G900108495_1_526 7453 3 .0004
G001543345_5_508 7453 2 .0003
G001750165_4_539 7453 0 0
G000995995_1_533 7453 0 0
G001190745_2_581 7453 4 .0005
G001420715_7_583 7453 11 .0015
G000008565_3_536 7453 5 .0007
G000196455_2_555 7453 4 .0005
G000744935_11_534 7453 6 .0008
G001649715_3_553 7453 2 .0003
G000478685_4_572 7453 12 .0016
G001302425_1_591 7453 0 0
G000252445_4_566 7453 3 .0004
G000024025_3_524 7453 14 .0019
G000153185_4_543 7453 18 .0024
G001439135_1_478 7453 0 0
G001981925_1_564 7453 8 .0011
G000297775_5_579 7453 1 .0001
G001442515_2_577 7453 1 .0001
G000014185_1_531 7453 5 .0007
G000507865_1_554 7453 12 .0016
G000365025_1_571 7453 3 .0004
G000429925_1_602 7453 3 .0004
G001188545_4_523 7453 13 .0017
G000754275_2_551 7453 6 .0008
G000756225_3_545 7453 2 .0003
G000196135_2_514 7453 2 .0003
G000505725_1_535 7453 5 .0007
G000350305_1_573 7453 1 .0001
G001750165_2_592 7453 4 .0005
G000447295_3_550 7453 9 .0012
G001574675_3_544 7453 15 .002
G000828895_2_582 7453 4 .0005
G001544015_1_586 7453 4 .0005
G001027025_1_559 7453 2 .0003
G900095865_2_518 7453 2 .0003
G001677115_3_597 7453 8 .0011
G000264455_3_549 7453 17 .0023
G001642955_1_558 7453 0 0
G000968055_1_575 7453 2 .0003
G000153185_4_606 7453 29 .0039
G000172555_1_529 7453 2 .0003
G000024985_2_556 7453 0 0
G000007785_3_595 7453 15 .002
G000737865_1_584 7453 4 .0005
G000750535_6_598 7453 2 .0003
G000403295_2_578 7453 7 .0009
G000007625_1_588 7453 3 .0004
G000413315_2_569 7453 4 .0005
G000023325_2_525 7453 2 .0003
G001819135_1_590 7453 1 .0001
G001708965_1_593 7453 0 0
G001941945_4_547 7453 5 .0007
G000752095_1_574 7453 2 .0003
G000512895_1_563 7453 13 .0017
G000750535_4_596 7453 6 .0008
G000024305_1_608 7453 3 .0004
G001941055_1_562 7453 2 .0003
G000585375_1_560 7453 14 .0019
G000297775_1_610 7453 6 .0008
G000965745_1_570 7453 1 .0001
G000189775_1_580 7453 0 0
G001295795_1_599 7453 4 .0005
G000702485_2_594 7453 9 .0012
G001420715_8_611 7453 7 .0009
G000613065_1_603 7453 0 0
G001404055_1_567 7453 2 .0003
G000174415_1_552 7453 26 .0035
G000424265_1_565 7453 2 .0003
G001039275_6_587 7453 10 .0013
G001867005_3_612 7453 13 .0017
G000505725_1_585 7453 4 .0005
G000585155_6_615 7453 3 .0004
G001464715_1_613 7453 2 .0003
G001677115_1_576 7453 10 .0013
G000169375_1_616 7453 0 0
G001544015_2_568 7453 21 .0028
G000762265_1_601 7453 1 .0001
G000478685_4_617 7453 13 .0017
G000189775_3_618 7453 0 0
G001796355_1_609 7453 6 .0008
G000725165_1_604 7453 5 .0007
G001420855_8_605 7453 3 .0004
G000014005_1_600 7453 10 .0013
G001302585_2_589 7453 16 .0021
G001574675_1_614 7453 9 .0012
G000423585_1_625 7453 3 .0004
G000960475_1_607 7453 12 .0016
G000384135_2_626 7453 1 .0001
G000179255_1_632 7453 9 .0012
G001574865_4_623 7453 9 .0012
G000384135_2_621 7453 1 .0001
G000299355_3_631 7453 0 0
G001750165_9_646 7453 0 0
G000372165_1_622 7453 0 0
G001574675_1_639 7453 9 .0012
G000208405_3_636 7453 4 .0005
G000297775_4_642 7453 1 .0001
G000934685_2_667 7453 2 .0003
G000429925_1_663 7453 2 .0003
G000702485_5_653 7453 2 .0003
G000299355_5_629 7453 25 .0034
G000313385_3_630 7453 9 .0012
G900095865_4_652 7453 4 .0005
G000711955_1_682 7453 0 0
G000297775_1_640 7453 9 .0012
G000989525_1_627 7453 2 .0003
G000264455_3_647 7453 4 .0005
G001543345_6_641 7453 0 0
G001677115_2_679 7453 14 .0019
G000091985_1_651 7453 2 .0003
G900095865_2_666 7453 6 .0008
G000299355_2_648 7453 3 .0004
G000260965_2_637 7453 11 .0015
G001750165_1_696 7453 0 0
G000478685_1_686 7453 25 .0034
G000379985_1_638 7453 9 .0012
G000744935_10_681 7453 7 .0009
G000384135_3_700 7453 0 0
G000297775_3_628 7453 1 .0001
G001558935_6_673 7453 6 .0008
G900106575_1_661 7453 0 0
G000473145_2_684 7453 19 .0025
G000828675_1_693 7453 2 .0003
G000252445_2_670 7453 2 .0003
G001302585_3_643 7453 9 .0012
G001749745_2_619 7453 3 .0004
G000238395_1_677 7453 5 .0007
G001420855_1_656 7453 0 0
G001899145_1_690 7453 5 .0007
G000299355_4_620 7453 5 .0007
G001302585_1_680 7453 2 .0003
G000007185_1_657 7453 7 .0009
G001818625_1_701 7453 1 .0001
G000297775_6_714 7453 1 .0001
G000413315_1_649 7453 6 .0008
G900142205_1_718 7453 20 .0027
G000518365_3_683 7453 3 .0004
G001420715_4_662 7453 14 .0019
G000473145_3_658 7453 17 .0023
G001574865_3_711 7453 9 .0012
G000091565_3_669 7453 16 .0021
G000585155_1_729 7453 1 .0001
G001580025_1_691 7453 22 .003
G001486165_3_703 7453 3 .0004
G000507845_1_635 7453 8 .0011
G000501155_1_674 7453 8 .0011
G001750165_2_704 7453 14 .0019
G001574865_2_708 7453 10 .0013
G001039275_5_728 7453 4 .0005
G000235505_1_689 7453 2 .0003
G000016165_6_664 7453 2 .0003
G001188545_1_672 7453 0 0
G001750165_3_671 7453 2 .0003
G000156595_1_706 7453 7 .0009
G001039275_4_692 7453 2 .0003
G000299355_4_645 7453 2 .0003
G000507865_1_688 7453 6 .0008
G000014245_1_685 7453 7 .0009
G000007105_2_624 7453 3 .0004
G001574675_3_650 7453 10 .0013
G001580025_1_644 7453 14 .0019
G001750165_3_707 7453 21 .0028
G000297775_1_724 7453 1 .0001
G001774275_1_720 7453 1 .0001
G001039275_2_659 7453 2 .0003
G000507865_2_712 7453 3 .0004
G000585375_1_723 7453 5 .0007
G000208405_2_705 7453 4 .0005
G000170795_5_735 7453 4 .0005
G000526635_1_633 7453 5 .0007
G000768705_1_698 7453 8 .0011
G000252445_5_721 7453 3 .0004
G000968055_2_675 7453 2 .0003
G000301055_2_654 7453 12 .0016
G001867005_2_665 7453 10 .0013
G000170795_3_722 7453 2 .0003
G000737865_3_655 7453 9 .0012
G000756225_3_695 7453 1 .0001
G000992445_1_709 7453 7 .0009
G000413315_4_736 7453 1 .0001
G001486165_1_731 7453 6 .0008
G001591605_1_702 7453 21 .0028
G000179615_5_716 7453 17 .0023
G900105065_2_699 7453 7 .0009
G000507845_1_717 7453 7 .0009
G001867005_3_739 7453 11 .0015
G001039275_7_634 7453 6 .0008
G001049735_1_730 7453 10 .0013
G000744935_2_676 7453 9 .0012
G000635595_1_746 7453 16 .0021
G000021885_2_732 7453 1 .0001
G001424785_1_734 7453 1 .0001
G000170895_1_660 7453 0 0
G000252445_1_668 7453 5 .0007
G900105065_1_738 7453 4 .0005
G000750535_6_715 7453 1 .0001
G000719335_1_713 7453 6 .0008
G000315465_1_743 7453 1 .0001
G000423585_1_742 7453 7 .0009
G000024025_2_697 7453 6 .0008
G001596795_1_687 7453 6 .0008
G000301055_2_694 7453 9 .0012
G000821105_2_745 7453 7 .0009
G001543345_7_737 7453 0 0
G000016165_3_750 7453 0 0
G001677115_2_740 7453 14 .0019
G000297775_2_727 7453 1 .0001
G000736515_1_678 7453 18 .0024
G001822865_1_748 7453 0 0
G000403455_2_744 7453 13 .0017
G001604585_1_710 7453 2 .0003
G000762265_2_719 7453 2 .0003
G001886435_2_761 7453 6 .0008
G001825665_1_726 7453 3 .0004
G001263205_2_725 7453 4 .0005
G000621485_1_751 7453 2 .0003
G000014865_1_747 7453 2 .0003
G001439135_1_760 7453 6 .0008
G001583415_2_741 7453 10 .0013
G001867005_1_749 7453 6 .0008
G000744935_5_752 7453 6 .0008
G001784565_1_787 7453 0 0
G001535965_1_780 7453 2 .0003
G000299355_3_779 7453 11 .0015
G001941945_5_765 7453 9 .0012
G001442515_2_733 7453 4 .0005
G000252445_1_755 7453 36 .0048
G000980895_1_766 7453 8 .0011
G000021885_3_813 7453 4 .0005
G900142285_1_791 7453 2 .0003
G000021885_6_758 7453 1 .0001
G001263205_2_772 7453 3 .0004
G001886435_4_786 7453 2 .0003
G000754275_3_838 7453 6 .0008
G001420715_8_790 7453 19 .0025
G000752095_2_817 7453 2 .0003
G000478685_2_764 7453 14 .0019
G000702485_3_781 7453 3 .0004
G000970465_1_768 7453 4 .0005
G000020725_2_794 7453 1 .0001
G001544015_2_767 7453 8 .0011
G000403295_2_821 7453 7 .0009
G000496595_1_796 7453 1 .0001
G000301055_2_775 7453 11 .0015
G000967895_2_800 7453 21 .0028
G001773775_1_777 7453 2 .0003
G000877395_1_762 7453 1 .0001
G000265295_1_784 7453 2 .0003
G000237805_1_788 7453 0 0
G001708935_1_822 7453 10 .0013
G001696955_1_776 7453 15 .002
G000179615_7_816 7453 17 .0023
G000413315_1_814 7453 5 .0007
G000585155_3_773 7453 3 .0004
G000754275_2_769 7453 7 .0009
